Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit,Category,Values
Cholera2,Parameter,μ,,,,,,Model file,Certain,,,,,,Natural mortality rate,CONSTANT,0.00023,1/week,,
Cholera2,Parameter,δ,,,,,,Model file,Certain,,,,,,Disease-induced death rate for symptomatic cholera,CONSTANT,0.002,1/week,,
Cholera2,Parameter,μB,,,,,,Model file,Certain,,,,,,Environmental bacterial decay rate,CONSTANT,0.6,1/week,,
Cholera2,Parameter,VE2A,,,,,,Model file,Certain,,,,,,Initial effectiveness of two-dose OCV in adults,CONSTANT,0.76,dimensionless,,
Cholera2,Parameter,VE2C,,,,,,Model file,Certain,,,,,,"Two-dose vaccine effectiveness in children under 5, scaled as 46.9% of adult protection",EXPRESSION,0.469 * VE2A,dimensionless,,
Cholera2,Parameter,VE1A,,,,,,Model file,Certain,,,,,,"One-dose adult protection during the first year, assumed equal initially to two-dose protection",CONSTANT,0.76,dimensionless,,
Cholera2,Parameter,VE1C,,,,,,Model file,Certain,,,,,,One-dose protection in children under 5 during the first year,EXPRESSION,0.469 * VE1A,dimensionless,,
Cholera3,Compartment,Susceptible,,9999,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera3,Compartment,Infected,,1,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera3,Compartment,Aquatic toxigenic Vibrio cholerae,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Cholera3,Flow,,,,,,,Model file,Certain,,Infected,RateFlow,//@parameters.2,False,Environmental infection S→I through exposure to contaminated water; paper incidence uses a * B / (K + B),,,,,
Cholera3,Flow,,,,,,,Model file,Certain,,Aquatic toxigenic Vibrio cholerae,RateFlow,//@parameters.7,False,Human shedding into aquatic reservoir: I contributes e units of toxigenic V. cholerae to B,,,,,
Cholera3,Parameter,nH,,,,,,Model file,Certain,,,,,,"Renewal into susceptible population; with constant human population H, influx is nH",EXPRESSION,n * H,persons/day,,
Cholera3,Parameter,n,,,,,,Model file,Certain,,,,,,Human birth and death rate,CONSTANT,0.0001,1/day,,
Cholera3,Parameter,a,,,,,,Model file,Certain,,,,,,Rate of exposure to contaminated water (used in dose-dependent infection term a * B / (K + B)),CONSTANT,1,1/day,,
Cholera3,Parameter,K,,,,,,Model file,Certain,,,,,,Concentration of V. cholerae in water giving 50% chance of infection,CONSTANT,1e6,cells/mL,,
Cholera3,Parameter,r,,,,,,Model file,Certain,,,,,,Recovery rate from cholera,CONSTANT,0.2,1/day,,
Cholera3,Parameter,nb,,,,,,Model file,Certain,,,,,,Growth rate of V. cholerae in the aquatic environment,CONSTANT,0,1/day,,
Cholera3,Parameter,mb,,,,,,Model file,Certain,,,,,,Loss rate of V. cholerae in the aquatic environment,CONSTANT,0.33,1/day,,
Cholera3,Parameter,e,,,,,,Model file,Certain,,,,,,Contribution of each infected person to aquatic V. cholerae concentration,CONSTANT,10,cells/mL/day/person,,
Cholera3,Parameter,mb-nb,,,,,,Model file,Certain,,,,,,Net bacterial loss rate in water; exact B sink term when mb > nb,EXPRESSION,mb - nb,1/day,,
Cholera3,Parameter,H,,,,,,Model file,Certain,,,,,,Total human population,CONSTANT,10000,persons,,
Covid1,Compartment,Susceptible,,14700000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Exposed,,5000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Exposed,quarantined,1000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Infectious,presymptomatic,3000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Infectious,"presymptomatic, isolated",1000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Infectious,mild to moderate,8000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Infectious,severe,2000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Infectious,"mild to moderate, isolated",4000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Infectious,"severe, isolated",800,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Isolated,,6000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Recovered,,50000,True,0.0,None,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Admitted to hospital,,1500,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,ICU,,400,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,Admitted to hospital,post-ICU,200,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid1,Compartment,COVID Deaths,,100,True,0.0,None,Model file,Certain,,,,,,,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,0.00001,True,Exposure (community transmission),,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Exposed (quarantined),RateFlow,0.000002,True,Exposure with quarantine measures,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Infectious (presymptomatic),RateFlow,0.4,True,Progression to presymptomatic infectious,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,"Infectious (presymptomatic, isolated)",RateFlow,0.4,True,Progression to presymptomatic isolated,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Infectious (mild to moderate),RateFlow,0.85,True,Mild to moderate symptoms,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Infectious (severe),RateFlow,0.15,True,Severe symptoms,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,"Infectious (mild to moderate, isolated)",RateFlow,0.85,True,Mild to moderate isolated,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,"Infectious (severe, isolated)",RateFlow,0.15,True,Severe isolated,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Isolated,RateFlow,0.5,False,Detection and isolation,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.167,False,Recovery,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Admitted to hospital,RateFlow,0.167,False,Hospital admission,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.167,False,Recovery,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Admitted to hospital,RateFlow,0.167,False,Hospital admission,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.167,False,Recovery,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.74,True,Recovery from hospital,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,ICU,RateFlow,0.26,True,ICU admission,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Admitted to hospital (post-ICU),RateFlow,0.6,True,Recovery to post-ICU,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,COVID Deaths,RateFlow,0.4,True,Death from COVID,,,,,
Covid1,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.048,False,Recovery post-ICU,,,,,
Covid1,Stratification,AgeGroup,,,,,,Model file,Certain,,,,,,Age-based population stratification with realistic COVID-19 characteristics,,,,Group,"0-17, 18-64, 65+"
Covid1,Stratification,AgeStratification,,,,,,Model file,Certain,,,,,,Age-based compartment stratification,,,,Product,//@groups.0
Covid2,Compartment,Susceptible,,1400049995,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid2,Compartment,Exposed,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid2,Compartment,Infectious,,5,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid2,Compartment,Removed,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Covid2,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,//@parameters.8,False,"S to E infection flow driven by infectious individuals; corresponds to c * S * I / N, with contact rate modified by NPIs",,,,,
Covid2,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.3,False,Progression from exposed to infectious at rate epsilon = 1 / incubation period,,,,,
Covid2,Flow,,,,,,,Model file,Certain,,Removed,RateFlow,//@parameters.6,False,Removal from transmission at rate r; in the paper Removed includes recovery and effective isolation/detection,,,,,
Covid2,Parameter,N,,,,,,Model file,Certain,,,,,,Approximate total mainland China population represented in the aggregated SEIR abstraction,CONSTANT,1400050000,persons,,
Covid2,Parameter,R0,,,,,,Model file,Certain,,,,,,Baseline reproduction number used by the paper for the early Wuhan outbreak,CONSTANT,2.2,dimensionless,,
Covid2,Parameter,incubationPeriod,,,,,,Model file,Certain,,,,,,Average incubation period from the paper,CONSTANT,5.2,days,,
Covid2,Parameter,epsilon,,,,,,Model file,Certain,,,,,,Rate of progression from exposed to infectious,EXPRESSION,1 / incubationPeriod,1/day,,
Covid2,Parameter,infectiousPeriod,,,,,,Model file,Certain,,,,,,Average infectious period proxy based on onset-to-isolation timing used before strong interventions,CONSTANT,5.8,days,,
Covid2,Parameter,baseRemovalRate,,,,,,Model file,Certain,,,,,,Baseline removal/isolation rate before time-varying improvements,EXPRESSION,1 / infectiousPeriod,1/day,,
Covid2,Parameter,r,,,,,,Model file,Certain,,,,,,Effective removal rate under NPIs; higher values represent earlier detection and isolation,EXPRESSION,baseRemovalRate * detectionIsolationMultiplier,1/day,,
Covid2,Parameter,baseContactRate,,,,,,Model file,Certain,,,,,,"Baseline daily contact-transmission rate c derived from R0 divided by infectious period, following the paper",EXPRESSION,R0 / infectiousPeriod,1/day,,
Covid2,Parameter,c,,,,,,Model file,Certain,,,,,,Effective contact rate under NPIs and social distancing,EXPRESSION,baseContactRate * contactReductionMultiplier,1/day,,
Covid2,Parameter,mobilityRestrictionMultiplier,,,,,,Model file,Certain,,,,,,Inter-city mobility scaling factor retained for semantic fidelity to the paper's travel network layer; 1 means no extra scaling in this single-population abstraction,CONSTANT,1,dimensionless,,
Covid2,Parameter,contactReductionMultiplier,,,,,,Model file,Certain,,,,,,Scales transmission-relevant contacts under social distancing; values below 1 represent contact reduction,CONSTANT,0.4,dimensionless,,
Covid2,Parameter,detectionIsolationMultiplier,,,,,,Model file,Certain,,,,,,Scales removal rate under improved case detection and isolation; values above 1 represent faster removal from transmission,CONSTANT,1.9,dimensionless,,
Covid2,Parameter,initialSeed,,,,,,Model file,Certain,,,,,,"Initial infected individuals in Wuhan used by the paper on December 1, 2019",CONSTANT,5,persons,,
Covid3,Compartment,Susceptible,,740999999,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid3,Compartment,Infected,,1,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Covid3,Compartment,Removed,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Covid3,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Covid3,Flow,,,,,,,Model file,Certain,,Infected,RateFlow,//@parameters.10,False,Approximate infection process driven by effective reproduction under interventions; paper models infections through Rt and generation-time renewal rather than explicit compartmental force of infection,,,,,
Covid3,Flow,,,,,,,Model file,Certain,,Removed,RateFlow,//@parameters.12,False,Resolution / removal from infectiousness; included as a compartmental approximation because the paper models infections implicitly rather than with explicit recovery transitions,,,,,
Covid3,Flow,,,,,,,Model file,Certain,,Dead,RateFlow,//@parameters.13,False,Fatal progression from latent infections to observed deaths; approximates the paper's infection-to-death linkage,,,,,
Covid3,Parameter,Population11Countries,,,,,,Model file,Certain,,,,,,Approximate combined population of the 11 European countries analysed in the paper,CONSTANT,741000000,persons,,
Covid3,Parameter,InitialRt,,,,,,Model file,Certain,,,,,,Average initial reproduction number estimated across the 11 countries before interventions,CONSTANT,3.8,dimensionless,,
Covid3,Parameter,GenerationIntervalDays,,,,,,Model file,Certain,,,,,,Representative generation interval placeholder retained for semantic fidelity to the renewal-process model,CONSTANT,6.5,days,,
Covid3,Parameter,BaseTransmissionRate,,,,,,Model file,Certain,,,,,,Compartmental approximation of transmission intensity derived from initial Rt,EXPRESSION,InitialRt / GenerationIntervalDays,1/day,,
Covid3,Parameter,PublicEventsBanEffect,,,,,,Model file,Certain,,,,,,Relative multiplier for public-events-ban effect on transmission; paper found non-lockdown intervention effects hard to identify separately,CONSTANT,1.0,dimensionless,,
Covid3,Parameter,SchoolClosureEffect,,,,,,Model file,Certain,,,,,,Relative multiplier for school-closure effect on transmission,CONSTANT,1.0,dimensionless,,
Covid3,Parameter,SelfIsolationEffect,,,,,,Model file,Certain,,,,,,Relative multiplier for case-based self-isolation effect on transmission,CONSTANT,1.0,dimensionless,,
Covid3,Parameter,SocialDistancingEffect,,,,,,Model file,Certain,,,,,,Relative multiplier for encouraged social distancing effect on transmission,CONSTANT,1.0,dimensionless,,
Covid3,Parameter,LockdownEffect,,,,,,Model file,Certain,,,,,,"Approximate remaining transmission multiplier under lockdown, corresponding to about 81 percent reduction in Rt reported in the paper",CONSTANT,0.19,dimensionless,,
Covid3,Parameter,CombinedInterventionMultiplier,,,,,,Model file,Certain,,,,,,Combined multiplicative effect of interventions on transmission,EXPRESSION,PublicEventsBanEffect * SchoolClosureEffect * SelfIsolationEffect * SocialDistancingEffect * LockdownEffect,dimensionless,,
Covid3,Parameter,EffectiveTransmissionRate,,,,,,Model file,Certain,,,,,,Effective transmission rate after interventions in the compartmental approximation,EXPRESSION,BaseTransmissionRate * CombinedInterventionMultiplier,1/day,,
Covid3,Parameter,MeanOutcomeDelayDays,,,,,,Model file,Certain,,,,,,Representative delay scale retained to approximate progression from infection to outcome in a simple compartmental form,CONSTANT,18,days,,
Covid3,Parameter,RemovalRate,,,,,,Model file,Certain,,,,,,Approximate non-fatal resolution rate from infected to removed,EXPRESSION,1 / MeanOutcomeDelayDays,1/day,,
Covid3,Parameter,DeathRate,,,,,,Model file,Certain,,,,,,Small fatal transition rate used only to preserve explicit death outcome structure in this approximation; the paper infers deaths from convolution with infection-to-death distribution rather than direct compartmental death flow,CONSTANT,0.005,1/day,,
Dengue1,Compartment,Susceptible humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue1,Compartment,Exposed humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue1,Compartment,Asymptomatic infectious humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue1,Compartment,Symptomatic infectious humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue1,Compartment,Recovered humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Dengue1,Compartment,Infectious mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Dengue1,Compartment,Susceptible mosquitoes,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.3,False,S_h → E_h via bites from infectious mosquitoes (standard incidence ~ h_a * Iv * S_h / N_h in paper),,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.5,False,E_h → A_h at rate (1-σ) * k (fraction entering asymptomatic),,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.11,False,E_h → I_h at rate σ * k (fraction entering symptomatic),,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.7,False,A_h → I_h via reinfection by infectious mosquitoes (paper uses ρ factor on mosquito-to-human contact for secondary infection),,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.9,False,A_h → R_h recovery at rate γ2a (here: γ2),,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.8,False,I_h → R_h recovery at rate γ1a (here: γ1),,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.10,False,S_v → I_v via biting asymptomatic infectious humans (paper force: (1-Iv)*(1/Nh)∫ v_a (I_h + A_h) da),,,,,
Dengue1,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,parameters.10,False,S_v → I_v via biting symptomatic infectious humans,,,,,
Dengue1,Parameter,B,,,,,,Model file,Certain,,,,,,"Constant influx of human hosts (boundary Sh(0,t)=B)",CONSTANT,250,1/time,,
Dengue1,Parameter,μ_h,,,,,,Model file,Certain,,,,,,Natural death rate of human hosts,CONSTANT,0.005,1/time,,
Dengue1,Parameter,μ_v,,,,,,Model file,Certain,,,,,,Natural death rate of mosquitoes,CONSTANT,0.65,1/time,,
Dengue1,Parameter,h,,,,,,Model file,Certain,,,,,,Mosquito-to-human transmission/contact rate (age-averaged h_a),CONSTANT,18,1/time,,
Dengue1,Parameter,σ,,,,,,Model file,Certain,,,,,,Probability an exposed host becomes symptomatic (paper: fraction to I_h),CONSTANT,0.007,dimensionless,,
Dengue1,Parameter,k,,,,,,Model file,Certain,,,,,,Latent progression rate (paper: k_a; here constant),CONSTANT,0.6,1/time,,
Dengue1,Parameter,(1-σ)*k,,,,,,Model file,Certain,,,,,,E_h → A_h rate,EXPRESSION,(1-σ) * k,1/time,,
Dengue1,Parameter,σ*k,,,,,,Model file,Certain,,,,,,E_h → I_h rate,EXPRESSION,σ * k,1/time,,
Dengue1,Parameter,ρ,,,,,,Model file,Certain,,,,,,Reinfection intensity factor for asymptomatic hosts (secondary infection),CONSTANT,0.5,dimensionless,,
Dengue1,Parameter,ρ*h,,,,,,Model file,Certain,,,,,,A_h → I_h reinfection contact term (scaled mosquito-to-human contact),EXPRESSION,ρ * h,1/time,,
Dengue1,Parameter,γ1,,,,,,Model file,Certain,,,,,,Recovery rate of symptomatic infectious hosts (paper: γ1a),CONSTANT,0.5,1/time,,
Dengue1,Parameter,γ2,,,,,,Model file,Certain,,,,,,Recovery rate of asymptomatic infectious hosts (paper: γ2a),CONSTANT,0.5,1/time,,
Dengue1,Parameter,v,,,,,,Model file,Certain,,,,,,Human-to-mosquito transmission rate (age-averaged v_a),CONSTANT,8,1/time,,
Dengue2,Compartment,Susceptible,,9900,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue2,Compartment,Exposed,,50,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue2,Compartment,Infectious,,50,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue2,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Dengue2,Compartment,Vaccinated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue2,Compartment,VaccinatedInfected,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Dengue2,Compartment,VaccinatedRecovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Dengue2,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,//@parameters.0,False,Human infection from infectious humans in simplified approximation of DENV transmission,,,,,
Dengue2,Flow,,,,,,,Model file,Certain,,Vaccinated,RateFlow,//@parameters.3,False,Vaccination following positive serological screening,,,,,
